StudentID,MentorID
163728111,386167477
164500920,201586985
191083779,685744439
224620876,997111094
261812056,463249547
271978135,836826630
290986112,685744439
332012037,386167477
432180765,201586985
495490053,836826630
504013895,997111094
513110141,696335701
513729696,685744439
587735656,463249547
590987789,685744439
712952591,463249547
743991555,463249547
774885901,463249547
785103478,997111094
785811329,685744439
801166066,685744439
803024290,997111094
867910658,386167477
916916939,696335701
164776911,201586985
232820149,836826630
296669559,836826630
315967897,463249547
365774792,463249547
387215322,201586985
409508678,997111094
490649143,836826630
722131306,201586985
787422802,463249547
876550324,836826630
895255243,201586985
965882492,961874958
980102825,463249547
985954783,836826630
131838016,386167477
143293833,463249547
185141262,386167477
252533260,696335701
279702622,836826630
328718420,997111094
467545237,961874958
477453864,961874958
483727101,201586985
658579865,836826630
737972250,997111094
785273479,685744439
793034333,961874958
812073765,386167477
930231660,463249547
992485307,201586985
996056608,463249547
273277984,386167477
696302689,463249547
203745018,997111094
308635036,961874958
118784412,201586985
124208644,997111094
285719425,961874958
391910519,386167477
845037919,386167477
885469446,961874958
952145559,836826630
260369148,696335701
382109560,696335701
406746417,836826630
500094214,696335701
601496044,997111094
850631208,997111094
901511548,201586985
550658107,696335701
956234659,997111094
501674545,685744439
302335678,997111094
340502961,685744439
